Algorithm,n,time_ns,comparisons,allocations,recursion_depth
MergeSort,100,678100,547,99,8
QuickSort,100,703000,524,0,5
DeterministicSelect,100,6180000,203,8,0
MergeSort,1000,885800,8688,999,11
QuickSort,1000,471100,7453,0,7
DeterministicSelect,1000,1239100,2219,21,0
MergeSort,5000,1618800,55213,4999,14
QuickSort,5000,919900,53519,0,8
DeterministicSelect,5000,3731600,10395,32,0
MergeSort,10000,5134300,120386,9999,15
QuickSort,10000,2919900,112302,0,9
DeterministicSelect,10000,6471200,19662,32,0
MergeSort,20000,2879600,260993,19999,16
QuickSort,20000,1821000,287996,0,9
DeterministicSelect,20000,2766200,40754,42,0
ClosestPair,6,4484500,6,0,2
MergeSort,100,998100,529,99,8
QuickSort,100,1079700,519,0,4
DeterministicSelect,100,4292700,227,8,0
MergeSort,1000,830100,8690,999,11
QuickSort,1000,651500,6906,0,6
DeterministicSelect,1000,1570300,2138,18,0
MergeSort,5000,930900,55178,4999,14
QuickSort,5000,1006900,52969,0,8
DeterministicSelect,5000,1775300,9908,26,0
ClosestPair,6,5819000,6,0,2
